시군구코드,시군구명,상권코드
11110,종로구,1000001
11110,종로구,1000002
11110,종로구,1000003
11110,종로구,1000004
11110,종로구,1000005
11110,종로구,1000006
11110,종로구,1000007
11110,종로구,1000008
11110,종로구,1000009
11110,종로구,1000010
11110,종로구,1000011
11110,종로구,1000012
11110,종로구,1000013
11110,종로구,1000014
11110,종로구,1000015
11110,종로구,1000016
11110,종로구,1000017
11110,종로구,1000018
11110,종로구,1000019
11110,종로구,1000020
11110,종로구,1000021
11110,종로구,1000022
11110,종로구,1000023
11110,종로구,1000024
11110,종로구,1000025
11110,종로구,1000026
11110,종로구,1000027
11140,중구,1000028
11140,중구,1000029
11140,중구,1000030
11140,중구,1000031
11140,중구,1000032
11140,중구,1000033
11140,중구,1000034
11140,중구,1000035
11140,중구,1000036
11140,중구,1000037
11140,중구,1000038
11140,중구,1000039
11140,중구,1000040
11140,중구,1000041
11140,중구,1000042
11140,중구,1000043
11140,중구,1000044
11140,중구,1000045
11140,중구,1000046
11140,중구,1000047
11140,중구,1000048
11140,중구,1000049
11170,용산구,1000050
11170,용산구,1000051
11170,용산구,1000052
11170,용산구,1000053
11170,용산구,1000054
11170,용산구,1000055
11170,용산구,1000056
11170,용산구,1000057
11170,용산구,1000058
11170,용산구,1000059
11170,용산구,1000060
11170,용산구,1000061
11170,용산구,1000062
11170,용산구,1000063
11170,용산구,1000064
11170,용산구,1000065
11170,용산구,1000066
11170,용산구,1000067
11170,용산구,1000068
11170,용산구,1000069
11170,용산구,1000070
11170,용산구,1000071
11170,용산구,1000072
11170,용산구,1000073
11170,용산구,1000074
11170,용산구,1000075
11170,용산구,1000076
11170,용산구,1000077
11170,용산구,1000078
11170,용산구,1000079
11170,용산구,1000080
11170,용산구,1000081
11170,용산구,1000082
11170,용산구,1000083
11170,용산구,1000084
11170,용산구,1000085
11170,용산구,1000086
11170,용산구,1000087
11200,성동구,1000088
11200,성동구,1000089
11200,성동구,1000090
11200,성동구,1000091
11200,성동구,1000092
11200,성동구,1000093
11200,성동구,1000094
11200,성동구,1000095
11200,성동구,1000096
11200,성동구,1000097
11200,성동구,1000098
11200,성동구,1000099
11200,성동구,1000100
11200,성동구,1000101
11200,성동구,1000102
11200,성동구,1000103
11200,성동구,1000104
11200,성동구,1000105
11200,성동구,1000106
11200,성동구,1000107
11200,성동구,1000108
11200,성동구,1000109
11200,성동구,1000110
11200,성동구,1000111
11200,성동구,1000112
11200,성동구,1000113
11200,성동구,1000114
11200,성동구,1000115
11200,성동구,1000116
11200,성동구,1000117
11200,성동구,1000118
11200,성동구,1000119
11200,성동구,1000120
11200,성동구,1000121
11200,성동구,1000122
11200,성동구,1000123
11200,성동구,1000124
11200,성동구,1000125
11200,성동구,1000126
11215,광진구,1000127
11215,광진구,1000128
11215,광진구,1000129
11215,광진구,1000130
11215,광진구,1000131
11215,광진구,1000132
11215,광진구,1000133
11215,광진구,1000134
11215,광진구,1000135
11215,광진구,1000136
11215,광진구,1000137
11215,광진구,1000138
11215,광진구,1000139
11215,광진구,1000140
11215,광진구,1000141
11215,광진구,1000142
11215,광진구,1000143
11215,광진구,1000144
11215,광진구,1000145
11215,광진구,1000146
11215,광진구,1000147
11215,광진구,1000148
11215,광진구,1000149
11215,광진구,1000150
11215,광진구,1000151
11215,광진구,1000152
11215,광진구,1000153
11215,광진구,1000154
11215,광진구,1000155
11215,광진구,1000156
11215,광진구,1000157
11215,광진구,1000158
11215,광진구,1000159
11215,광진구,1000160
11215,광진구,1000161
11215,광진구,1000162
11215,광진구,1000163
11215,광진구,1000164
11215,광진구,1000165
11215,광진구,1000166
11215,광진구,1000167
11230,동대문구,1000168
11230,동대문구,1000169
11230,동대문구,1000170
11230,동대문구,1000171
11230,동대문구,1000172
11230,동대문구,1000173
11230,동대문구,1000174
11230,동대문구,1000175
11230,동대문구,1000176
11230,동대문구,1000177
11230,동대문구,1000178
11230,동대문구,1000179
11230,동대문구,1000180
11230,동대문구,1000181
11230,동대문구,1000182
11230,동대문구,1000183
11230,동대문구,1000184
11230,동대문구,1000185
11230,동대문구,1000186
11230,동대문구,1000187
11230,동대문구,1000188
11230,동대문구,1000189
11230,동대문구,1000190
11230,동대문구,1000191
11230,동대문구,1000192
11230,동대문구,1000193
11230,동대문구,1000194
11230,동대문구,1000195
11230,동대문구,1000196
11230,동대문구,1000197
11230,동대문구,1000198
11230,동대문구,1000199
11230,동대문구,1000200
11230,동대문구,1000201
11230,동대문구,1000202
11230,동대문구,1000203
11230,동대문구,1000204
11230,동대문구,1000205
11230,동대문구,1000206
11230,동대문구,1000207
11230,동대문구,1000208
11230,동대문구,1000209
11230,동대문구,1000210
11230,동대문구,1000211
11230,동대문구,1000212
11230,동대문구,1000213
11230,동대문구,1000214
11230,동대문구,1000215
11230,동대문구,1000216
11230,동대문구,1000217
11230,동대문구,1000218
11230,동대문구,1000219
11230,동대문구,1000220
11230,동대문구,1000221
11260,중랑구,1000222
11260,중랑구,1000223
11260,중랑구,1000224
11260,중랑구,1000225
11260,중랑구,1000226
11260,중랑구,1000227
11260,중랑구,1000228
11260,중랑구,1000229
11260,중랑구,1000230
11260,중랑구,1000231
11260,중랑구,1000232
11260,중랑구,1000233
11260,중랑구,1000234
11260,중랑구,1000235
11260,중랑구,1000236
11260,중랑구,1000237
11260,중랑구,1000238
11260,중랑구,1000239
11260,중랑구,1000240
11260,중랑구,1000241
11260,중랑구,1000242
11260,중랑구,1000243
11260,중랑구,1000244
11260,중랑구,1000245
11260,중랑구,1000246
11260,중랑구,1000247
11260,중랑구,1000248
11260,중랑구,1000249
11260,중랑구,1000250
11260,중랑구,1000251
11260,중랑구,1000252
11260,중랑구,1000253
11260,중랑구,1000254
11260,중랑구,1000255
11260,중랑구,1000256
11260,중랑구,1000257
11260,중랑구,1000258
11260,중랑구,1000259
11260,중랑구,1000260
11290,성북구,1000261
11290,성북구,1000262
11290,성북구,1000263
11290,성북구,1000264
11290,성북구,1000265
11290,성북구,1000266
11290,성북구,1000267
11290,성북구,1000268
11290,성북구,1000269
11290,성북구,1000270
11290,성북구,1000271
11290,성북구,1000272
11290,성북구,1000273
11290,성북구,1000274
11290,성북구,1000275
11290,성북구,1000276
11290,성북구,1000277
11290,성북구,1000278
11290,성북구,1000279
11290,성북구,1000280
11290,성북구,1000281
11290,성북구,1000282
11290,성북구,1000283
11290,성북구,1000284
11290,성북구,1000285
11290,성북구,1000286
11290,성북구,1000287
11290,성북구,1000288
11290,성북구,1000289
11290,성북구,1000290
11290,성북구,1000291
11290,성북구,1000292
11290,성북구,1000293
11290,성북구,1000294
11290,성북구,1000295
11290,성북구,1000296
11290,성북구,1000297
11290,성북구,1000298
11290,성북구,1000299
11290,성북구,1000300
11290,성북구,1000301
11290,성북구,1000302
11290,성북구,1000303
11290,성북구,1000304
11290,성북구,1000305
11290,성북구,1000306
11290,성북구,1000307
11290,성북구,1000308
11290,성북구,1000309
11290,성북구,1000310
11290,성북구,1000311
11290,성북구,1000312
11290,성북구,1000313
11290,성북구,1000314
11305,강북구,1000315
11305,강북구,1000316
11305,강북구,1000317
11305,강북구,1000318
11305,강북구,1000319
11305,강북구,1000320
11305,강북구,1000321
11305,강북구,1000322
11305,강북구,1000323
11305,강북구,1000324
11305,강북구,1000325
11305,강북구,1000326
11305,강북구,1000327
11305,강북구,1000328
11305,강북구,1000329
11305,강북구,1000330
11305,강북구,1000331
11305,강북구,1000332
11305,강북구,1000333
11305,강북구,1000334
11305,강북구,1000335
11305,강북구,1000336
11305,강북구,1000337
11305,강북구,1000338
11305,강북구,1000339
11305,강북구,1000340
11305,강북구,1000341
11305,강북구,1000342
11305,강북구,1000343
11305,강북구,1000344
11305,강북구,1000345
11305,강북구,1000346
11305,강북구,1000347
11305,강북구,1000348
11305,강북구,1000349
11305,강북구,1000350
11305,강북구,1000351
11320,도봉구,1000352
11320,도봉구,1000353
11320,도봉구,1000354
11320,도봉구,1000355
11320,도봉구,1000356
11320,도봉구,1000357
11320,도봉구,1000358
11320,도봉구,1000359
11320,도봉구,1000360
11320,도봉구,1000361
11320,도봉구,1000362
11320,도봉구,1000363
11320,도봉구,1000364
11320,도봉구,1000365
11320,도봉구,1000366
11320,도봉구,1000367
11320,도봉구,1000368
11320,도봉구,1000369
11320,도봉구,1000370
11320,도봉구,1000371
11320,도봉구,1000372
11320,도봉구,1000373
11320,도봉구,1000374
11320,도봉구,1000375
11320,도봉구,1000376
11320,도봉구,1000377
11350,노원구,1000378
11350,노원구,1000379
11350,노원구,1000380
11350,노원구,1000381
11350,노원구,1000382
11350,노원구,1000383
11350,노원구,1000384
11350,노원구,1000385
11350,노원구,1000386
11350,노원구,1000387
11350,노원구,1000388
11380,은평구,1000389
11380,은평구,1000390
11380,은평구,1000391
11380,은평구,1000392
11380,은평구,1000393
11380,은평구,1000394
11380,은평구,1000395
11380,은평구,1000396
11380,은평구,1000397
11380,은평구,1000398
11380,은평구,1000399
11380,은평구,1000400
11380,은평구,1000401
11380,은평구,1000402
11380,은평구,1000403
11380,은평구,1000404
11380,은평구,1000405
11380,은평구,1000406
11380,은평구,1000407
11380,은평구,1000408
11380,은평구,1000409
11380,은평구,1000410
11380,은평구,1000411
11380,은평구,1000412
11380,은평구,1000413
11380,은평구,1000414
11380,은평구,1000415
11380,은평구,1000416
11380,은평구,1000417
11380,은평구,1000418
11380,은평구,1000419
11380,은평구,1000420
11380,은평구,1000421
11380,은평구,1000422
11380,은평구,1000423
11380,은평구,1000424
11380,은평구,1000425
11380,은평구,1000426
11380,은평구,1000427
11380,은평구,1000428
11380,은평구,1000429
11380,은평구,1000430
11380,은평구,1000431
11380,은평구,1000432
11380,은평구,1000433
11380,은평구,1000434
11410,서대문구,1000435
11410,서대문구,1000436
11410,서대문구,1000437
11410,서대문구,1000438
11410,서대문구,1000439
11410,서대문구,1000440
11410,서대문구,1000441
11410,서대문구,1000442
11410,서대문구,1000443
11410,서대문구,1000444
11410,서대문구,1000445
11410,서대문구,1000446
11410,서대문구,1000447
11410,서대문구,1000448
11410,서대문구,1000449
11410,서대문구,1000450
11410,서대문구,1000451
11410,서대문구,1000452
11410,서대문구,1000453
11410,서대문구,1000454
11410,서대문구,1000455
11410,서대문구,1000456
11410,서대문구,1000457
11440,마포구,1000458
11440,마포구,1000459
11440,마포구,1000460
11440,마포구,1000461
11440,마포구,1000462
11440,마포구,1000463
11440,마포구,1000464
11440,마포구,1000465
11440,마포구,1000466
11440,마포구,1000467
11440,마포구,1000468
11440,마포구,1000469
11440,마포구,1000470
11440,마포구,1000471
11440,마포구,1000472
11440,마포구,1000473
11440,마포구,1000474
11440,마포구,1000475
11440,마포구,1000476
11440,마포구,1000477
11440,마포구,1000478
11440,마포구,1000479
11440,마포구,1000480
11440,마포구,1000481
11440,마포구,1000482
11440,마포구,1000483
11440,마포구,1000484
11440,마포구,1000485
11440,마포구,1000486
11440,마포구,1000487
11440,마포구,1000488
11440,마포구,1000489
11440,마포구,1000490
11440,마포구,1000491
11440,마포구,1000492
11440,마포구,1000493
11440,마포구,1000494
11440,마포구,1000495
11440,마포구,1000496
11440,마포구,1000497
11440,마포구,1000498
11440,마포구,1000499
11440,마포구,1000500
11440,마포구,1000501
11440,마포구,1000502
11440,마포구,1000503
11440,마포구,1000504
11440,마포구,1000505
11440,마포구,1000506
11470,양천구,1000507
11470,양천구,1000508
11470,양천구,1000509
11470,양천구,1000510
11470,양천구,1000511
11470,양천구,1000512
11470,양천구,1000513
11470,양천구,1000514
11470,양천구,1000515
11470,양천구,1000516
11470,양천구,1000517
11470,양천구,1000518
11470,양천구,1000519
11470,양천구,1000520
11470,양천구,1000521
11470,양천구,1000522
11470,양천구,1000523
11470,양천구,1000524
11470,양천구,1000525
11470,양천구,1000526
11470,양천구,1000527
11470,양천구,1000528
11470,양천구,1000529
11470,양천구,1000530
11470,양천구,1000531
11470,양천구,1000532
11470,양천구,1000533
11470,양천구,1000534
11470,양천구,1000535
11470,양천구,1000536
11470,양천구,1000537
11470,양천구,1000538
11470,양천구,1000539
11470,양천구,1000540
11470,양천구,1000541
11470,양천구,1000542
11470,양천구,1000543
11470,양천구,1000544
11470,양천구,1000545
11470,양천구,1000546
11470,양천구,1000547
11470,양천구,1000548
11470,양천구,1000549
11470,양천구,1000550
11470,양천구,1000551
11500,강서구,1000552
11500,강서구,1000553
11500,강서구,1000554
11500,강서구,1000555
11500,강서구,1000556
11500,강서구,1000557
11500,강서구,1000558
11500,강서구,1000559
11500,강서구,1000560
11500,강서구,1000561
11500,강서구,1000562
11500,강서구,1000563
11500,강서구,1000564
11500,강서구,1000565
11500,강서구,1000566
11500,강서구,1000567
11500,강서구,1000568
11500,강서구,1000569
11500,강서구,1000570
11500,강서구,1000571
11500,강서구,1000572
11500,강서구,1000573
11500,강서구,1000574
11500,강서구,1000575
11500,강서구,1000576
11500,강서구,1000577
11500,강서구,1000578
11500,강서구,1000579
11500,강서구,1000580
11500,강서구,1000581
11500,강서구,1000582
11500,강서구,1000583
11500,강서구,1000584
11500,강서구,1000585
11500,강서구,1000586
11500,강서구,1000587
11500,강서구,1000588
11500,강서구,1000589
11500,강서구,1000590
11500,강서구,1000591
11500,강서구,1000592
11500,강서구,1000593
11500,강서구,1000594
11500,강서구,1000595
11500,강서구,1000596
11500,강서구,1000597
11500,강서구,1000598
11500,강서구,1000599
11500,강서구,1000600
11500,강서구,1000601
11500,강서구,1000602
11470,양천구,1000603
11500,강서구,1000604
11500,강서구,1000605
11500,강서구,1000606
11500,강서구,1000607
11500,강서구,1000608
11530,구로구,1000609
11530,구로구,1000610
11530,구로구,1000611
11530,구로구,1000612
11530,구로구,1000613
11530,구로구,1000614
11530,구로구,1000615
11530,구로구,1000616
11530,구로구,1000617
11530,구로구,1000618
11530,구로구,1000619
11530,구로구,1000620
11530,구로구,1000621
11530,구로구,1000622
11530,구로구,1000623
11530,구로구,1000624
11530,구로구,1000625
11530,구로구,1000626
11530,구로구,1000627
11530,구로구,1000628
11530,구로구,1000629
11530,구로구,1000630
11530,구로구,1000631
11530,구로구,1000632
11530,구로구,1000633
11530,구로구,1000634
11530,구로구,1000635
11530,구로구,1000636
11530,구로구,1000637
11530,구로구,1000638
11530,구로구,1000639
11530,구로구,1000640
11530,구로구,1000641
11530,구로구,1000642
11530,구로구,1000643
11530,구로구,1000644
11530,구로구,1000645
11530,구로구,1000646
11530,구로구,1000647
11530,구로구,1000648
11530,구로구,1000649
11530,구로구,1000650
11530,구로구,1000651
11530,구로구,1000652
11530,구로구,1000653
11545,금천구,1000654
11545,금천구,1000655
11545,금천구,1000656
11545,금천구,1000657
11545,금천구,1000658
11545,금천구,1000659
11545,금천구,1000660
11545,금천구,1000661
11545,금천구,1000662
11545,금천구,1000663
11545,금천구,1000664
11545,금천구,1000665
11545,금천구,1000666
11545,금천구,1000667
11545,금천구,1000668
11545,금천구,1000669
11545,금천구,1000670
11545,금천구,1000671
11545,금천구,1000672
11545,금천구,1000673
11545,금천구,1000674
11545,금천구,1000675
11545,금천구,1000676
11545,금천구,1000677
11545,금천구,1000678
11545,금천구,1000679
11545,금천구,1000680
11545,금천구,1000681
11545,금천구,1000682
11560,영등포구,1000683
11560,영등포구,1000684
11560,영등포구,1000685
11560,영등포구,1000686
11560,영등포구,1000687
11560,영등포구,1000688
11560,영등포구,1000689
11560,영등포구,1000690
11560,영등포구,1000691
11560,영등포구,1000692
11560,영등포구,1000693
11560,영등포구,1000694
11560,영등포구,1000695
11560,영등포구,1000696
11560,영등포구,1000697
11560,영등포구,1000698
11560,영등포구,1000699
11560,영등포구,1000700
11560,영등포구,1000701
11560,영등포구,1000702
11560,영등포구,1000703
11560,영등포구,1000704
11560,영등포구,1000705
11560,영등포구,1000706
11560,영등포구,1000707
11560,영등포구,1000708
11560,영등포구,1000709
11560,영등포구,1000710
11560,영등포구,1000711
11560,영등포구,1000712
11560,영등포구,1000713
11560,영등포구,1000714
11560,영등포구,1000715
11560,영등포구,1000716
11560,영등포구,1000717
11560,영등포구,1000718
11560,영등포구,1000719
11560,영등포구,1000720
11560,영등포구,1000721
11560,영등포구,1000722
11560,영등포구,1000723
11560,영등포구,1000724
11560,영등포구,1000725
11560,영등포구,1000726
11560,영등포구,1000727
11560,영등포구,1000728
11560,영등포구,1000729
11560,영등포구,1000730
11560,영등포구,1000731
11560,영등포구,1000732
11590,동작구,1000733
11590,동작구,1000734
11590,동작구,1000735
11590,동작구,1000736
11590,동작구,1000737
11590,동작구,1000738
11590,동작구,1000739
11590,동작구,1000740
11590,동작구,1000741
11590,동작구,1000742
11590,동작구,1000743
11590,동작구,1000744
11590,동작구,1000745
