s,기준년코드,기준분기코드,남성유동인구수,여성유동인구수,연령대10유동인구수,연령대20유동인구수,연령대30유동인구수,연령대40유동인구수,연령대50유동인구수,연령대60이상유동인구수,월요일유동인구수,화요일유동인구수,수요일유동인구수,목요일유동인구수,금요일유동인구수,토요일유동인구수,일요일유동인구수
강남구,2015,1,28527885,22510388,1280827,9123611,16134829,12534368,7702035,4262589,9664886,9833885,8583356,8041278,7209787,4484551,3220609
강남구,2015,2,27000461,21258145,1237760,8726664,15226762,11890095,7286639,3890725,7630899,7928270,8423069,8499332,8475939,4589585,2711576
강남구,2015,3,22577741,18417998,1330988,7552669,12311315,10025505,6334584,3440771,6622230,6947741,7038161,7300680,7050188,3794823,2241935
강남구,2015,4,25833557,21492554,1575485,9105353,14082086,11251406,7252714,4059019,7915534,8243437,8066847,7866185,7734546,4670079,2829495
강남구,2016,1,20460906,17059195,1040994,6994614,11328973,9094048,5716477,3345023,6124667,5992776,6364651,6735427,6627015,3628913,2046711
강남구,2016,2,18533276,16289719,1108512,6832723,10467530,8277368,5104641,3032233,5646396,5673189,5929323,6192207,5902164,3434334,2045433
강남구,2016,3,17649327,16148654,1417814,6678820,9688420,7961041,4970428,3081504,5595277,5837728,5601492,5667469,5867503,3263170,1965415
강남구,2016,4,16365183,15073553,1306970,6257157,9036989,7305181,4642323,2890144,4943575,5276607,5315268,5328033,5541346,3178107,1855787
강남구,2017,1,20626560,19341274,2028091,12483980,11237558,7103986,4280380,2833923,5662128,6050448,6659173,6673154,6249823,4912004,3761175
강남구,2017,2,19994115,18608658,1696521,11599492,10879163,7022453,4287786,3117369,5728470,5799705,6191521,6200076,6236365,4731905,3714760
강남구,2017,3,24327868,23078889,2517802,14395296,12735342,8528112,5292524,3937776,7102171,7299402,7478899,7570265,7630483,5773809,4551753
강남구,2017,4,20942877,19391999,1843877,11990061,11061243,7355129,4640189,3444412,5700341,6307144,6117976,6359457,6650826,5320944,3878203
강남구,2018,1,21683218,20215991,2301691,12725129,11124808,7510133,4726846,3510614,6288097,6737998,6809547,6264235,6523885,5208989,4066449
강남구,2018,2,21796067,20470268,2002826,12580548,11350789,7661515,4914963,3755741,6208622,6354228,6344430,6791214,6967264,5424239,4176403
강남구,2018,3,21924556,20671340,2480379,12827058,11048324,7633570,4891563,3715019,6170809,6536817,6478662,6854542,7012032,5433259,4109791
강남구,2018,4,22229940,20674568,2128799,12303532,11357024,7814980,5217339,4082868,6346622,6326847,6619716,6791056,7003504,5559166,4257591
강남구,2019,1,39342998,40914739,9030902,15903574,18259156,14523019,9483601,13057489,11825417,11830739,12180134,12591077,12437613,10284614,9108136
강남구,2019,2,38101271,39995892,8601303,15374869,18187893,14392718,9195018,12345365,11467351,12049483,11976555,11901741,12058981,9865096,8777945
강남구,2019,3,38921141,40904303,9338080,16057187,18380177,14717408,9313152,12019455,12140875,12535576,12478003,11925490,11901561,9870406,8973543
강남구,2019,4,39660118,41809442,9076443,16114711,19034383,15151967,9720016,12372016,12351492,12575740,12087322,12180084,12592026,10428098,9254774
강동구,2015,1,7906515,8070719,855582,2211517,3677535,3645067,3579868,2007667,2795971,2758952,2435143,2313633,2097879,1879575,1696108
강동구,2015,2,7522841,7770787,820933,2050104,3471797,3528701,3513105,1909024,2324804,2288734,2363607,2365571,2496791,1989573,1464607
강동구,2015,3,6330969,6594914,668902,1653794,2801657,3006641,3114135,1680758,1989249,2009791,1981281,2042324,2111773,1614218,1177290
강동구,2015,4,6011838,6404331,666386,1552282,2670260,2885312,3025812,1616114,1950993,1950434,1903665,1896174,1947210,1600532,1167132
강동구,2016,1,5320634,5705514,493927,1318598,2367111,2536388,2695864,1614252,1697360,1634273,1702398,1762625,1807422,1415515,1006555
강동구,2016,2,4518849,5142538,441009,1111087,2066943,2229570,2388920,1423850,1493399,1393832,1501973,1582265,1566731,1232274,890924
강동구,2016,3,4563972,5191834,539979,1189142,2022987,2221628,2318049,1464000,1545530,1554372,1503469,1484919,1581599,1217406,868525
강동구,2016,4,4258564,4951067,550405,1105005,1895817,2083939,2174540,1399943,1407051,1420830,1422079,1412592,1522381,1198775,825942
강동구,2017,1,7593392,7798774,1249904,3327801,3259047,2772707,2801576,1981177,2044148,2067425,2290051,2296460,2240110,2317846,2136204
강동구,2017,2,7620063,7760459,1135532,3226675,3227921,2781979,2819212,2189162,2110945,2133982,2191988,2136060,2242129,2309990,2255488
강동구,2017,3,8718680,8801618,1375756,3694568,3513239,3143465,3226441,2566848,2436224,2437683,2465196,2483907,2552250,2546365,2598716
강동구,2017,4,7988948,7814922,1141776,3292040,3210845,2884271,2948322,2326677,2181809,2221086,2170725,2194017,2351919,2430086,2254310
강동구,2018,1,8164785,8037313,1209914,3450414,3185840,2906888,3013919,2435139,2291032,2309669,2353534,2209698,2313859,2362675,2361679
강동구,2018,2,8649493,8703383,1152221,3665474,3450402,3117910,3241205,2725694,2375978,2394586,2446083,2445836,2572394,2649218,2468816
강동구,2018,3,8857982,8756855,1231141,3813271,3471496,3058844,3257246,2782841,2428796,2477742,2491933,2486342,2609941,2615551,2504550
강동구,2018,4,8411047,8214796,1081572,3457884,3247984,2896707,3171378,2770360,2327334,2313947,2323978,2299419,2443876,2508934,2408366
강동구,2019,1,25122334,28390975,8182106,6824553,8152355,8169307,8517229,13667781,7554467,7515874,7544007,7532870,7593194,7836322,7936579
강동구,2019,2,23456549,26856476,7603982,6296189,7781034,7787094,7991347,12853391,7129699,7062166,7112758,7095740,7133638,7330575,7448449
강동구,2019,3,23783430,27253041,7770275,6537721,7877704,7839142,8075806,12935831,7242194,7239526,7259284,7209963,7154812,7393347,7537345
강동구,2019,4,24048599,27731378,7951216,6495166,7997719,8088194,8200950,13046738,7316227,7270623,7336472,7306882,7307873,7550513,7691404
강북구,2015,1,5682213,6222880,578771,1792629,2562944,2769939,2653023,1547766,2076856,2049926,1813388,1727607,1540908,1409802,1286590
강북구,2015,2,5558457,6198796,562451,1727672,2510859,2769462,2681693,1505129,1797968,1747611,1807544,1803193,1913634,1561435,1125875
강북구,2015,3,4774212,5391576,458770,1467549,2029636,2407311,2432933,1369571,1584633,1558951,1554337,1601936,1654498,1284092,927320
강북구,2015,4,4488200,5255755,481032,1396897,1880488,2297317,2358997,1329234,1534879,1529901,1485904,1487577,1518201,1264005,923531
강북구,2016,1,4007222,4646749,361573,1222251,1648102,1985617,2111870,1324543,1347827,1274725,1322320,1358031,1412838,1125520,812734
강북구,2016,2,4257481,5225908,478403,1325529,1750454,2154121,2281936,1492939,1459200,1342871,1451477,1549263,1527100,1243852,909659
강북구,2016,3,3485247,4360151,403239,998649,1428589,1830272,1918162,1266460,1247711,1247996,1207498,1189389,1252342,984347,716127
강북구,2016,4,2969949,3917263,395500,884685,1211224,1592829,1682580,1120422,1056887,1056541,1058272,1042722,1123677,908566,640614
강북구,2017,1,5137976,5238704,782213,2734913,1930030,1829889,1829005,1270662,1346570,1336551,1523780,1538148,1501293,1621975,1508375
강북구,2017,2,5100849,5250826,715138,2583233,1890035,1820275,1850562,1492458,1409399,1416424,1437725,1421360,1477853,1603057,1585897
강북구,2017,3,6539194,6848104,984808,3302857,2387028,2330608,2381653,2000354,1849649,1827801,1884007,1882749,1950030,1999953,1993122
강북구,2017,4,5663757,5843175,774757,2961070,2081559,1992954,2022779,1673834,1566560,1587175,1566451,1578683,1693088,1817851,1697073
강북구,2018,1,5625148,5820578,826901,2975380,1995094,1932842,2024220,1691315,1580411,1573081,1606101,1557702,1648116,1747280,1733036
강북구,2018,2,6088717,6288629,771623,3169570,2157508,2096893,2215248,1966507,1709238,1682193,1724754,1674538,1784334,1918649,1883647
강북구,2018,3,6384190,6563710,826320,3376486,2228300,2143476,2326726,2046625,1799280,1804990,1790167,1777497,1882354,1964414,1929230
강북구,2018,4,5886682,6021300,704418,3026087,2047013,1959722,2201132,1969665,1643949,1628530,1625871,1602290,1719966,1864333,1823107
강북구,2019,1,16498328,19375711,4665776,5190314,4672429,5314957,5743155,10287418,5064434,5076072,5048600,5034103,5071603,5256045,5323186
강북구,2019,2,15453926,18667653,4415112,4971383,4501784,5050054,5453445,9729808,4834971,4790143,4822869,4826754,4842285,4964397,5040173
강북구,2019,3,15595470,18472718,4510988,5060726,4510157,4989546,5390621,9606139,4811512,4810184,4839919,4829003,4812347,4955154,5010059
강북구,2019,4,16154214,19232531,4699665,5228908,4663576,5159966,5619793,10014834,4995665,4973374,5023069,5007231,5001747,5154910,5230754
강서구,2015,1,7637358,8035691,1024398,2074909,3702072,3769059,3379991,1722641,2775958,2719611,2421098,2288395,2028365,1807824,1631793
강서구,2015,2,7145911,7556307,970750,1893410,3458755,3563939,3233002,1582367,2262647,2208365,2295945,2282412,2397399,1892468,1363038
강서구,2015,3,6412052,6805221,804602,1645281,3008193,3234844,3052709,1471636,2059895,2059058,2050391,2107983,2143764,1640782,1155395
강서구,2015,4,6061748,6607779,839587,1563227,2811300,3057335,2951458,1446604,2019777,2007482,1958047,1949813,1975392,1610332,1148700
강서구,2016,1,5336456,5892637,660555,1397046,2427607,2669850,2614316,1459745,1747032,1667375,1747021,1792411,1828687,1436033,1010542
강서구,2016,2,5093947,5857379,686640,1247850,2392829,2633061,2577268,1413696,1698748,1564685,1717520,1815017,1762766,1395131,997456
강서구,2016,3,4978767,5705504,678356,1279026,2313856,2525942,2472564,1414514,1715217,1718061,1658124,1632479,1720107,1317467,922846
강서구,2016,4,4522678,5335594,661221,1166574,2136266,2317471,2276781,1299974,1526260,1528161,1535236,1520511,1626015,1263988,858117
강서구,2017,1,5726825,5790639,806890,2660105,2858966,2092512,1862205,1236739,1499190,1505038,1725120,1733515,1642718,1765388,1646546
강서구,2017,2,6328574,6287991,802211,2776671,3031986,2314868,2118334,1572525,1728130,1760888,1776734,1778631,1814654,1884745,1872800
강서구,2017,3,7303317,7312434,1116338,3207998,3294697,2657693,2445052,1893977,2031777,2046342,2059093,2044273,2072009,2168564,2193728
강서구,2017,4,6383050,6093048,811803,2762121,2886923,2276455,2097834,1640956,1730787,1764243,1731049,1732449,1813056,1897348,1807191
강서구,2018,1,6183824,5984683,876759,2733138,2758464,2185311,2004914,1609882,1703892,1705410,1736228,1675606,1728206,1800960,1818212
강서구,2018,2,6733475,6652636,880305,2945064,3032029,2392872,2237997,1897891,1819211,1803230,1904783,1903170,1953467,2056527,1945728
강서구,2018,3,7721134,7637128,1061866,3460306,3420407,2714830,2517276,2183617,2130948,2157230,2164252,2163650,2247067,2271457,2223645
강서구,2018,4,6802160,6580373,863389,2918054,2963302,2365472,2254257,2018071,1874387,1863618,1875806,1844180,1920636,2026474,1977491
강서구,2019,1,22783748,26075178,8145569,6602957,8389629,7492369,6834173,11394228,6917561,6901333,6907116,6884382,6904892,7115647,7227999
강서구,2019,2,21185806,24607434,7674980,6133005,7969038,7101029,6359057,10556152,6522295,6462179,6509751,6506818,6480768,6591794,6719638
강서구,2019,3,21567981,24824222,7805545,6384858,8072525,7166412,6427922,10534949,6616601,6600930,6610254,6581197,6493159,6670744,6819305
강서구,2019,4,22271436,25642506,8056638,6493010,8405322,7471279,6637590,10850129,6819048,6786107,6833468,6787233,6736516,6897473,7054107
관악구,2015,1,12648050,12336818,1245227,5105800,5930011,5010684,4682765,3010396,4286610,4216977,3771182,3610765,3194236,3033032,2872124
관악구,2015,2,11839724,11631624,1176238,4759744,5502247,4750477,4480506,2802168,3529644,3462408,3581698,3582232,3761511,3146713,2407162
관악구,2015,3,9607566,9467208,905469,3776465,4273321,3898752,3854713,2366079,2909756,2911216,2888923,2984808,3046249,2462123,1871747
관악구,2015,4,9574129,9704722,1012240,3898933,4202326,3877553,3851595,2436220,2955128,2984458,2920938,2922322,2971079,2555146,1969800
관악구,2016,1,9505872,9579624,896432,3882863,4146012,3717010,3687989,2755228,2879821,2777678,2883323,2957544,3044339,2566063,1976734
관악구,2016,2,7902885,8318694,771102,3256881,3518425,3193478,3169591,2312123,2443192,2276697,2478196,2623367,2545720,2167752,1686710
관악구,2016,3,7350453,7856702,735528,3109906,3249231,3011700,2966200,2134599,2393275,2393517,2323372,2301375,2414338,1928275,1453008
관악구,2016,4,6659116,7293421,735172,2893874,2903063,2745818,2705145,1969538,2110645,2122520,2131578,2131797,2260234,1848348,1347428
관악구,2017,1,10944047,9727391,1235787,8027170,4403286,2699992,2476377,1828847,2677663,2694928,3036052,3076717,2977647,3233743,2974699
관악구,2017,2,10344038,9031133,1086224,7237621,4151567,2570787,2379304,1949658,2611461,2652831,2740252,2713344,2824832,2966595,2865882
관악구,2017,3,13038057,11584381,1415338,9207970,5107181,3215486,3035511,2640991,3360266,3400440,3443036,3480522,3560911,3722851,3654407
관악구,2017,4,11924063,10469157,1139329,8305915,4702430,2996796,2879645,2369145,3076456,3079193,2996031,3067616,3304403,3579505,3290029
관악구,2018,1,11726436,10469484,1231408,8442456,4491241,2897289,2783667,2349889,3051819,3053286,3114214,3017962,3152737,3436940,3368962
관악구,2018,2,12530815,11283677,1179024,8760094,4921048,3139516,3061361,2753495,3245474,3228517,3307506,3250227,3391462,3783040,3608269
관악구,2018,3,13069340,11597424,1227283,9322804,5057751,3175484,3090899,2792554,3356813,3403487,3486870,3390353,3558201,3780921,3690178
관악구,2018,4,11106483,9706317,926508,7737050,4258236,2653401,2736837,2500736,2848397,2844413,2848116,2817968,2998220,3289196,3166520
관악구,2019,1,33062522,33884287,7152138,16493784,12270418,8890782,8087043,14052618,9308970,9302449,9341053,9364376,9455975,10047296,10126678
관악구,2019,2,31523512,32687121,6813804,15935626,12057183,8572393,7602094,13229555,9006972,8942922,9026283,9037659,9031260,9508992,9656574
관악구,2019,3,31066579,32037943,6668499,15819238,11868859,8449600,7472897,12825431,8871453,8877565,8906022,8870320,8762368,9303386,9513399
관악구,2019,4,31570435,32658041,6758432,15999912,12151833,8665978,7692203,12960123,8964916,8940663,9090758,9039455,8965149,9531763,9695795
광진구,2015,1,6751584,6410012,646989,2456231,3086764,2959747,2695406,1316465,2335974,2298441,2015662,1925414,1732948,1524471,1328687
광진구,2015,2,6415907,6164470,659083,2393557,2936419,2819200,2578840,1193270,1932832,1889677,1955482,1974249,2083105,1622544,1122454
광진구,2015,3,5947983,5731280,568280,2079245,2622501,2692648,2541417,1175188,1829227,1824474,1805385,1868115,1920832,1437666,993575
광진구,2015,4,5501097,5479835,587297,2030938,2406462,2483925,2384906,1087408,1733250,1738069,1694216,1687777,1738980,1417413,971260
광진구,2016,1,4728992,4795755,433787,1738358,2066646,2127468,2098359,1060162,1484261,1395061,1467107,1522373,1596944,1229493,829544
광진구,2016,2,5564866,5924788,627769,2275423,2478803,2429955,2343237,1334481,1736728,1606175,1769978,1898675,1847516,1527467,1103124
광진구,2016,3,3922243,4213774,402664,1591511,1772182,1775943,1694087,899636,1296267,1300590,1251936,1248713,1327084,1010290,701186
광진구,2016,4,3424254,3748219,394862,1442156,1537881,1555593,1468585,773409,1098283,1109616,1112914,1111075,1201501,930714,608371
광진구,2017,1,6391138,6334451,1017147,4240585,2549488,1920246,1847628,1150513,1662798,1663398,1879389,1901887,1838260,1994373,1785490
광진구,2017,2,6267311,6094180,889436,4096810,2457575,1874193,1800820,1242652,1670558,1695593,1716417,1719356,1783935,1956413,1819207
광진구,2017,3,7969017,7900619,1138529,5018322,3147178,2434254,2369885,1761465,2180687,2192962,2209355,2193063,2315052,2468561,2309953
광진구,2017,4,7269953,7122626,966113,4862988,2827242,2124271,2131134,1480800,1960215,1964600,1907608,1967565,2147869,2360611,2084104
광진구,2018,1,7045064,6835866,1030122,4854017,2647900,1962693,1974037,1412159,1901754,1887613,1949997,1890217,1983781,2206054,2061536
광진구,2018,2,8081839,8061774,1076540,5436888,3146762,2310759,2370780,1801930,2156212,2205524,2244197,2231976,2362282,2609767,2333673
광진구,2018,3,8006163,7894502,1043400,5622609,3031771,2213023,2276608,1713277,2150992,2184002,2211691,2194010,2332957,2517977,2309059
광진구,2018,4,7422795,7264481,912005,5074220,2807035,2047119,2173306,1673601,1998252,1994728,2001548,1978551,2136768,2386938,2190534
광진구,2019,1,20836601,23357031,5947977,8697225,7322723,6277996,6434595,9513112,6195015,6192633,6203377,6202654,6279161,6549080,6571702
광진구,2019,2,19629543,22488257,5640397,8560886,7108443,6026605,5968017,8813442,5936719,5871162,5931702,5940602,5962181,6221533,6253909
광진구,2019,3,19264615,21847486,5412724,8373831,6961640,5891169,5862405,8610359,5805633,5807315,5841063,5816878,5762524,6015001,6063702
광진구,2019,4,19382375,21965034,5401642,8639400,7004361,5899686,5873130,8529200,5802084,5782562,5866588,5838468,5828709,6096976,6132046
구로구,2015,1,6098318,5876874,567042,1628140,2899100,2859551,2580733,1440654,2167152,2113262,1875690,1784282,1563893,1284924,1186049
구로구,2015,2,6086090,5955742,591157,1623058,2841174,2874372,2657900,1454161,1882290,1835893,1913713,1908589,1973552,1440029,1087749
구로구,2015,3,5056390,5050038,446358,1305575,2294621,2436851,2351388,1271622,1603877,1591547,1587045,1628550,1640585,1167901,886954
구로구,2015,4,4991325,5171024,492406,1338864,2270780,2401603,2364314,1294399,1644506,1620119,1588775,1577122,1578349,1235393,918092
구로구,2016,1,4232461,4436657,349343,1049837,1915849,2072793,2051358,1230004,1372804,1301798,1358593,1407166,1415734,1042834,770221
구로구,2016,2,4441351,4760333,403519,1104938,2016659,2200824,2175365,1300415,1455413,1357175,1453649,1517897,1491083,1103997,822505
구로구,2016,3,4365715,4581315,411052,1094202,1957421,2163675,2080362,1240309,1452317,1460703,1410932,1398202,1467380,1014510,743018
구로구,2016,4,4030419,4393024,433541,1026781,1788713,2018150,1973543,1182734,1318709,1324779,1325939,1323151,1396820,1015469,718606
구로구,2017,1,5288549,4846652,545511,2390372,2458574,1922908,1653433,1164437,1348769,1365237,1563068,1562238,1476439,1450947,1368512
구로구,2017,2,5041145,4564966,471837,2260557,2319886,1799145,1574411,1180292,1379901,1367590,1408645,1384888,1416042,1316919,1332104
구로구,2017,3,5361661,4967663,516688,2466154,2379728,1914647,1709478,1342657,1454480,1444462,1490693,1474190,1509738,1473099,1482694
구로구,2017,4,5647919,5176497,476628,2498382,2535576,2023956,1871785,1418062,1491476,1529621,1502056,1501568,1606983,1620345,1572375
구로구,2018,1,5752198,5202718,509549,2627948,2536708,1994291,1874752,1411632,1542148,1551795,1583707,1523007,1585125,1566417,1602724
구로구,2018,2,5934535,5357516,475426,2633093,2566870,2089443,1978868,1548350,1577990,1572952,1583216,1613361,1668251,1632879,1643433
구로구,2018,3,6203391,5515214,500640,2740503,2599566,2159231,2062390,1656279,1671054,1669599,1658173,1661304,1725658,1652031,1680863
구로구,2018,4,5799009,5117516,429907,2468647,2409361,1989505,1977238,1641874,1556658,1527443,1533490,1527299,1598083,1586195,1587395
구로구,2019,1,15121097,16051509,3910988,4222556,5272615,5112734,4920162,7733553,4448965,4442484,4446178,4428142,4427272,4438147,4541417
구로구,2019,2,14319869,15231823,3720938,3993388,5038620,4912514,4652509,7233748,4230993,4201179,4231612,4225067,4207314,4170083,4285451
구로구,2019,3,14387494,15305658,3718463,4137721,5074886,4934114,4642945,7185050,4263674,4248810,4264648,4236913,4206981,4179279,4292871
구로구,2019,4,14332119,15169312,3774311,4032643,5016982,4903006,4591886,7182636,4223548,4198527,4192333,4179290,4165896,4208112,4333736
금천구,2015,1,4398947,3892730,357500,1087694,1868525,2107924,1967136,902882,1511174,1477352,1302777,1233986,1091348,892312,782737
금천구,2015,2,4282151,3846086,371337,1035246,1785520,2086324,1989396,860424,1275578,1248766,1296670,1293586,1346888,977264,689499
금천구,2015,3,3746208,3376360,293612,859953,1475879,1855967,1851941,785206,1133447,1126032,1121847,1160964,1172005,832648,575646
금천구,2015,4,3452739,3192195,272102,815981,1373999,1709587,1737432,735857,1091876,1075434,1047109,1041583,1042358,791060,555498
금천구,2016,1,3090898,2880060,205364,704369,1227541,1477830,1591603,764292,956513,895041,935070,967293,1003418,720150,493496
금천구,2016,2,2703135,2584188,221538,570137,1044720,1285228,1416439,749248,837412,773560,845536,905774,866781,622092,436182
금천구,2016,3,2833883,2725064,221730,638353,1107422,1378778,1461680,751006,916548,915750,883810,870112,914798,624833,433100
금천구,2016,4,2430117,2422048,207702,551270,953192,1210281,1271884,657819,771669,773415,773684,770554,811677,567729,383442
금천구,2017,1,2356668,1939743,174631,1016859,1013195,825670,812770,453285,566758,580375,673022,675183,632641,615969,552495
금천구,2017,2,2243795,1852015,138472,918876,945982,780483,796719,515281,585598,592139,598641,583753,601756,573369,560594
금천구,2017,3,2679152,2233194,208234,1102129,1085041,915558,951796,649597,701102,699449,708469,716965,736956,686882,662549
금천구,2017,4,2751943,2256508,171959,1050980,1144554,965760,1015433,659784,700990,718908,699192,703769,749409,751078,685098
금천구,2018,1,2724224,2223706,178943,1083792,1103944,927340,991727,662177,706712,707288,719995,691895,724354,712251,685438
금천구,2018,2,3035805,2515550,170148,1208082,1237941,1023803,1117770,793623,789203,779481,785992,789214,817561,809682,780214
금천구,2018,3,3013422,2505402,176075,1226130,1223515,1018138,1093385,781611,783854,786004,785106,785904,817620,800132,760226
금천구,2018,4,2798239,2299838,135398,1101358,1124519,912145,1035457,789178,727095,710246,718399,712736,750148,758280,721169
금천구,2019,1,8483258,8614821,1853654,2477669,2970798,2705118,2918437,4172405,2450197,2445344,2438732,2430674,2433897,2434573,2464670
금천구,2019,2,8092414,8283411,1723098,2377641,2900088,2619504,2808141,3947365,2352894,2338938,2345894,2344281,2338630,2305237,2349953
금천구,2019,3,7967926,8106232,1692095,2391867,2866799,2547624,2721353,3854412,2307376,2307580,2308099,2301245,2278810,2267634,2303427
금천구,2019,4,8319889,8465300,1789349,2450899,2981850,2677740,2818043,4067315,2418674,2401711,2402439,2390208,2375028,2374908,2422226
노원구,2015,1,2230410,2523522,377402,808217,955414,1134577,984155,494170,822064,811857,717033,684700,630589,573716,513993
노원구,2015,2,2279815,2620670,394925,798213,992435,1184759,1026095,504068,732451,719996,743895,753133,815352,659112,476567
노원구,2015,3,2292695,2667835,400885,790886,918838,1208223,1095088,546625,751470,759037,749033,774300,813116,638456,475146
노원구,2015,4,2145439,2577338,415450,746434,857509,1144235,1043969,515183,722452,729256,714108,722333,746956,624053,463625
노원구,2016,1,1854657,2251768,320834,662314,733126,975023,913575,501553,625288,602909,625878,630317,678779,547771,395494
